City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,dukat,62.55,155.55,55.38,79,100,6.15,RU,1690065120
323,arcachon,44.5875,-1.0519,66.52,82,0,0.0,FR,1690065120
324,vostok,46.4856,135.8833,72.5,81,100,0.72,RU,1690065120
325,gumdag,39.2061,54.5906,82.63,49,3,6.46,TM,1690065121
326,akdepe,42.0551,59.3788,84.29,27,0,6.87,TM,1690065121
327,changli,39.7042,119.1506,73.54,82,1,4.5,CN,1690065121
328,holice,50.066,15.9859,62.44,66,0,1.14,CZ,1690065121
329,andenes,69.3143,16.1194,55.38,88,100,3.44,NO,1690065121
330,kemijarvi,66.7131,27.4306,53.58,95,100,4.56,FI,1690065121
331,sparti,37.0733,22.4297,82.94,25,0,5.28,GR,1690065121
332,locri,38.2414,16.2623,87.31,34,1,9.98,IT,1690065122
333,ahipara,-35.1667,173.1667,55.81,64,60,13.67,NZ,1690065122
334,saint-pierre,-21.3393,55.4781,65.88,82,0,6.91,RE,1690065122
335,crotone,39.0851,17.1178,91.18,41,1,5.99,IT,1690065122
336,ahuimanu,21.4447,-157.8378,87.51,65,75,14.97,US,1690065122
337,college,64.8569,-147.8028,83.07,34,75,3.44,US,1690065122
338,lalsot,26.5667,76.3333,86.36,63,93,10.07,IN,1690065122
339,salalah,17.0151,54.0924,78.89,94,100,4.61,OM,1690065123
340,mount gambier,-37.8333,140.7667,46.0,78,67,4.47,AU,1690065123
341,caravelas,-17.7125,-39.2481,70.72,91,13,12.12,BR,1690065123
342,batagay-alyta,67.8006,130.4114,60.78,57,100,2.84,RU,1690065124
343,muros,42.7762,-9.0603,61.84,80,94,6.96,ES,1690065124
344,maceio,-9.6658,-35.7353,74.64,88,40,2.3,BR,1690065124
345,aljezur,37.3191,-8.8033,62.98,92,3,11.72,PT,1690065124
346,grindavik,63.8424,-22.4338,54.07,82,100,6.91,IS,1690065125
347,bukoba,-1.3317,31.8122,68.9,59,33,3.4,TZ,1690065125
348,concepcion del oro,24.6333,-101.4167,79.27,29,50,5.95,MX,1690065126
349,amuntai,-2.4177,115.2494,74.1,91,80,1.3,ID,1690065126
350,pitimbu,-7.4706,-34.8086,75.79,80,38,16.35,BR,1690065126
351,diego de almagro,-26.3667,-70.05,63.88,38,100,3.33,CL,1690065126
352,hazebrouck,50.7237,2.5373,61.72,82,100,7.85,FR,1690065126
353,khandbari,27.3747,87.2039,72.95,91,98,1.81,NP,1690065126
354,la ronge,55.1001,-105.2842,70.05,52,40,6.91,CA,1690065127
355,jaru,-10.4389,-62.4664,77.32,38,0,1.92,BR,1690065127
356,majene,-3.5403,118.9707,76.64,87,67,9.28,ID,1690065127
357,constantine,36.365,6.6147,83.61,51,0,4.61,DZ,1690065127
358,bonnyville,54.2668,-110.735,79.92,44,97,6.06,CA,1690065127
359,pandan niog,6.2282,120.5631,82.27,73,99,5.48,PH,1690065128
360,kuala terengganu,5.3302,103.1408,78.75,94,20,0.0,MY,1690065128
361,tuatapere,-46.1333,167.6833,41.7,93,100,3.94,NZ,1690065128
362,traverse city,44.7631,-85.6206,82.51,54,75,0.0,US,1690065128
363,havelock,34.8791,-76.9013,82.4,81,75,4.61,US,1690065128
364,borodino,55.9106,94.8983,61.59,88,20,0.56,RU,1690065128
365,taman,45.2117,36.7161,76.3,78,0,11.83,RU,1690065129
366,severo-kurilsk,50.6789,156.125,55.62,90,100,3.33,RU,1690065129
367,zhangzhou,24.5133,117.6556,82.33,93,100,1.61,CN,1690065129
368,nanortalik,60.1432,-45.2371,45.88,79,89,6.42,GL,1690065129
369,kargasok,59.0556,80.8572,63.84,84,100,6.49,RU,1690065129
370,hamilton,39.1834,-84.5333,83.93,52,0,1.01,US,1690065040
371,marienburg,54.0359,19.0266,56.88,81,66,6.51,PL,1690065129
372,turinsk,58.0458,63.696,55.08,98,81,3.38,RU,1690065130
373,ust-omchug,61.15,149.6333,54.5,81,100,4.0,RU,1690065130
374,tiksi,71.6872,128.8694,47.39,67,34,11.99,RU,1690065130
375,bukachacha,52.9833,116.9167,64.94,56,96,4.61,RU,1690065130
376,kaohsiung,22.6163,120.3133,85.03,83,40,3.44,TW,1690065130
377,ondangwa,-17.9167,15.95,64.4,42,1,4.61,NA,1690065130
378,buchanan,5.8808,-10.0467,76.77,85,89,9.28,LR,1690065131
379,paidha,2.4167,30.9855,63.34,64,100,5.19,UG,1690065131
380,praia,14.9215,-23.5087,81.14,69,40,10.36,CV,1690065131
381,aitape,-3.1374,142.3475,80.92,82,27,2.91,PG,1690065131
382,liaozhong,41.5061,122.7242,71.13,90,99,14.7,CN,1690065131
383,blagoyevo,63.3667,47.9167,51.3,99,36,4.38,RU,1690065131
384,armidale,-30.5167,151.65,45.37,64,3,6.4,AU,1690065131
385,la sarre,48.8002,-79.1996,69.82,50,5,4.76,CA,1690065131
386,tyup,42.7276,78.3648,60.75,65,1,3.0,KG,1690065132
387,hami,42.8,93.45,81.01,23,0,6.38,CN,1690065132
388,koungou,-12.7336,45.2042,74.91,83,0,9.22,YT,1690065132
389,soyo,-6.1349,12.3689,70.09,89,21,8.43,AO,1690065132
390,asosa,10.0667,34.5333,60.94,96,100,5.55,ET,1690065132
